personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2003HARD01,Chris Hardwick,USA,Yes,Yes,Yes,Yes,Yes,No (8/17),5
2008BARA01,Bence Barát,Hungary,Yes,Yes,No (3/4),Yes,Yes,Yes,5
2008CASI01,Gabriel Alejandro Orozco Casillas,Mexico,Yes,Yes,Yes,Yes,Yes,No (6/17),5
2009SHEP01,Daniel Sheppard,United Kingdom,Yes,Yes,No (2/4),Yes,Yes,Yes,5
2009ZEMD01,Feliks Zemdegs,Australia,Yes,Yes,No (2/4),Yes,Yes,Yes,5
2011BANS02,Shivam Bansal,India,Yes,Yes,Yes,Yes,Yes,No (16/17),5
2011WELC01,Walker Welch,USA,Yes,Yes,Yes,No,Yes,Yes,5
2012MCNE01,Jayden McNeill,Australia,Yes,Yes,No (2/4),Yes,Yes,Yes,5
2012STRA02,Roman Strakhov,Russia,Yes,Yes,Yes,Yes,Yes,No (4/17),5
2013EGDA02,Martin Vædele Egdal,Denmark,Yes,Yes,Yes,No,Yes,Yes,5
2013WALL03,Daniel Wallin,Sweden,Yes,Yes,Yes,Yes,No,Yes,5
2014BOYA01,Mark Boyanowski,USA,Yes,Yes,Yes,Yes,Yes,No (5/17),5
